Título;Ano;Nota;Sinopse;Diretor;Elenco Principal
Up: Altas Aventuras;2009;8,3;Carl Fredricksen, de 78 anos, viaja para a América do Sul com sua casa, inadvertidamente levando um menino com ele.;Pete Docter;Edward Asner, Jordan Nagai, John Ratzenberger
M, o Vampiro de Dusseldorf;1931;8,3;Quando a polícia de uma cidade alemã não consegue encontrar um assassino de crianças, outros criminosos decidem ajudar na caçada humana.;Fritz Lang;Peter Lorre, Ellen Widmann, Inge Landgut
Cidadão Kane;1941;8,2;Após a morte de um magnata na indústria editorial, jornalistas correm para descobrir o significado da última palavra que ele pronunciou.;Orson Welles;Orson Welles, Joseph Cotten, Dorothy Comingore
Nascido para Matar;1987;8,2;Um marinho dos Estados Unidos nota os deshumanizantes efeitos da guerra do Vietnã em seus colegas.;Stanley Kubrick;Matthew Modine, R. Lee Ermey, Vincent D'Onofrio
Um Corpo que Cai;1958;8,2;Um ex-policial luta contra seus demônios enquanto está obcecado por uma mulher bonita.;Alfred Hitchcock;James Stewart, Kim Novak, Barbara Bel Geddes
O Fabuloso Destino de Amélie Poulain;2001;8,3;Amélie é uma parisiense ingênua com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor.;Jean-Pierre Jeunet;Audrey Tautou, Mathieu Kassovitz, Rufus
Como Estrelas na Terra;2007;8,3;Um garoto de oito anos é acusado de ser problemático e preguiçoso, até que o novo professor de arte tem a paciência e compaixão para descobrir o verdadeiro problema por trás de suas lutas na escola.;Aamir Khan;Darsheel Safary, Aamir Khan, Tisca Chopra
A Separação;2011;8,3;Um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no Irã e cuidar de um pai que se deteriora e com Alzheimer.;Asghar Farhadi;Payman Maadi, Leila Hatami, Sareh Bayat
O Sol é para Todos;1962;8,3;Atticus Finch, um advogado no sul da era da Depressão, defende um homem negro contra uma acusação de estupro imerecida, e seus filhos contra o preconceito.;Robert Mulligan;Gregory Peck, John Megna, Frank Overton
Duro de Matar;1988;8,2;John McClane, agente do departamento de polícia de Nova York, tenta salvar sua esposa, Holly Gennaro, e outras pessoas que o terrorista alemão Hans Gruber tomou como reféns durante a festa de Natal no Nakatomi Plaza, em Los Angeles.;John McTiernan;Bruce Willis, Alan Rickman, Bonnie Bedelia
